season,week,player,game_id,away_team,home_team,picked_team,confidence
2026,1,Jesse,2026_01_ARI_LAC,ARI,LAC,LAC,16
2026,1,Jesse,2026_01_ATL_PIT,ATL,PIT,PIT,8
2026,1,Jesse,2026_01_BAL_IND,BAL,IND,IND,4
2026,1,Jesse,2026_01_BUF_HOU,BUF,HOU,HOU,9
2026,1,Jesse,2026_01_CHI_CAR,CHI,CAR,CAR,1
2026,1,Jesse,2026_01_CLE_JAX,CLE,JAX,JAX,15
2026,1,Jesse,2026_01_DAL_NYG,DAL,NYG,DAL,13
2026,1,Jesse,2026_01_DEN_KC,DEN,KC,KC,3
2026,1,Jesse,2026_01_GB_MIN,GB,MIN,GB,12
2026,1,Jesse,2026_01_MIA_LV,MIA,LV,MIA,2
2026,1,Jesse,2026_01_NE_SEA,NE,SEA,SEA,10
2026,1,Jesse,2026_01_NO_DET,NO,DET,DET,11
2026,1,Jesse,2026_01_NYJ_TEN,NYJ,TEN,NYJ,6
2026,1,Jesse,2026_01_SF_LA,SF,LA,SF,7
2026,1,Jesse,2026_01_TB_CIN,TB,CIN,TB,5
2026,1,Jesse,2026_01_WAS_PHI,WAS,PHI,PHI,14
2026,1,Jimmy,2026_01_ARI_LAC,ARI,LAC,LAC,16
2026,1,Jimmy,2026_01_ATL_PIT,ATL,PIT,PIT,5
2026,1,Jimmy,2026_01_BAL_IND,BAL,IND,BAL,10
2026,1,Jimmy,2026_01_BUF_HOU,BUF,HOU,HOU,1
2026,1,Jimmy,2026_01_CHI_CAR,CHI,CAR,CHI,9
2026,1,Jimmy,2026_01_CLE_JAX,CLE,JAX,JAX,14
2026,1,Jimmy,2026_01_DAL_NYG,DAL,NYG,DAL,13
2026,1,Jimmy,2026_01_DEN_KC,DEN,KC,DEN,6
2026,1,Jimmy,2026_01_GB_MIN,GB,MIN,GB,7
2026,1,Jimmy,2026_01_MIA_LV,MIA,LV,MIA,3
2026,1,Jimmy,2026_01_NE_SEA,NE,SEA,SEA,11
2026,1,Jimmy,2026_01_NO_DET,NO,DET,DET,15
2026,1,Jimmy,2026_01_NYJ_TEN,NYJ,TEN,NYJ,8
2026,1,Jimmy,2026_01_SF_LA,SF,LA,SF,2
2026,1,Jimmy,2026_01_TB_CIN,TB,CIN,CIN,4
2026,1,Jimmy,2026_01_WAS_PHI,WAS,PHI,PHI,12
2026,1,John,2026_01_ARI_LAC,ARI,LAC,LAC,16
2026,1,John,2026_01_ATL_PIT,ATL,PIT,ATL,3
2026,1,John,2026_01_BAL_IND,BAL,IND,BAL,11
2026,1,John,2026_01_BUF_HOU,BUF,HOU,BUF,8
2026,1,John,2026_01_CHI_CAR,CHI,CAR,CAR,2
2026,1,John,2026_01_CLE_JAX,CLE,JAX,JAX,14
2026,1,John,2026_01_DAL_NYG,DAL,NYG,DAL,9
2026,1,John,2026_01_DEN_KC,DEN,KC,KC,7
2026,1,John,2026_01_GB_MIN,GB,MIN,MIN,6
2026,1,John,2026_01_MIA_LV,MIA,LV,LV,12
2026,1,John,2026_01_NE_SEA,NE,SEA,SEA,10
2026,1,John,2026_01_NO_DET,NO,DET,DET,15
2026,1,John,2026_01_NYJ_TEN,NYJ,TEN,NYJ,5
2026,1,John,2026_01_SF_LA,SF,LA,LA,13
2026,1,John,2026_01_TB_CIN,TB,CIN,TB,4
2026,1,John,2026_01_WAS_PHI,WAS,PHI,WAS,1
