season,week,player,game_id,picked_team,confidence,away_team,home_team,winner,status,game_completed,pick_correct,points_earned
2026,1,Jesse,2026_01_ARI_LAC,LAC,16,ARI,LAC,ARI,final,True,False,0
2026,1,Jesse,2026_01_ATL_PIT,PIT,8,ATL,PIT,PIT,final,True,True,8
2026,1,Jesse,2026_01_BAL_IND,IND,4,BAL,IND,BAL,final,True,False,0
2026,1,Jesse,2026_01_BUF_HOU,HOU,9,BUF,HOU,BUF,final,True,False,0
2026,1,Jesse,2026_01_CHI_CAR,CAR,1,CHI,CAR,CHI,final,True,False,0
2026,1,Jesse,2026_01_CLE_JAX,JAX,15,CLE,JAX,JAX,final,True,True,15
2026,1,Jesse,2026_01_DAL_NYG,DAL,13,DAL,NYG,NYG,final,True,False,0
2026,1,Jesse,2026_01_DEN_KC,KC,3,DEN,KC,KC,final,True,True,3
2026,1,Jesse,2026_01_GB_MIN,GB,12,GB,MIN,MIN,final,True,False,0
2026,1,Jesse,2026_01_MIA_LV,MIA,2,MIA,LV,LV,final,True,False,0
2026,1,Jesse,2026_01_NE_SEA,SEA,10,NE,SEA,SEA,final,True,True,10
2026,1,Jesse,2026_01_NO_DET,DET,11,NO,DET,DET,final,True,True,11
2026,1,Jesse,2026_01_NYJ_TEN,NYJ,6,NYJ,TEN,NYJ,final,True,True,6
2026,1,Jesse,2026_01_SF_LA,SF,7,SF,LA,SF,final,True,True,7
2026,1,Jesse,2026_01_TB_CIN,TB,5,TB,CIN,CIN,final,True,False,0
2026,1,Jesse,2026_01_WAS_PHI,PHI,14,WAS,PHI,PHI,final,True,True,14
2026,1,Jimmy,2026_01_ARI_LAC,LAC,16,ARI,LAC,ARI,final,True,False,0
2026,1,Jimmy,2026_01_ATL_PIT,PIT,5,ATL,PIT,PIT,final,True,True,5
2026,1,Jimmy,2026_01_BAL_IND,BAL,10,BAL,IND,BAL,final,True,True,10
2026,1,Jimmy,2026_01_BUF_HOU,HOU,1,BUF,HOU,BUF,final,True,False,0
2026,1,Jimmy,2026_01_CHI_CAR,CHI,9,CHI,CAR,CHI,final,True,True,9
2026,1,Jimmy,2026_01_CLE_JAX,JAX,14,CLE,JAX,JAX,final,True,True,14
2026,1,Jimmy,2026_01_DAL_NYG,DAL,13,DAL,NYG,NYG,final,True,False,0
2026,1,Jimmy,2026_01_DEN_KC,DEN,6,DEN,KC,KC,final,True,False,0
2026,1,Jimmy,2026_01_GB_MIN,GB,7,GB,MIN,MIN,final,True,False,0
2026,1,Jimmy,2026_01_MIA_LV,MIA,3,MIA,LV,LV,final,True,False,0
2026,1,Jimmy,2026_01_NE_SEA,SEA,11,NE,SEA,SEA,final,True,True,11
2026,1,Jimmy,2026_01_NO_DET,DET,15,NO,DET,DET,final,True,True,15
2026,1,Jimmy,2026_01_NYJ_TEN,NYJ,8,NYJ,TEN,NYJ,final,True,True,8
2026,1,Jimmy,2026_01_SF_LA,SF,2,SF,LA,SF,final,True,True,2
2026,1,Jimmy,2026_01_TB_CIN,CIN,4,TB,CIN,CIN,final,True,True,4
2026,1,Jimmy,2026_01_WAS_PHI,PHI,12,WAS,PHI,PHI,final,True,True,12
2026,1,John,2026_01_ARI_LAC,LAC,16,ARI,LAC,ARI,final,True,False,0
2026,1,John,2026_01_ATL_PIT,ATL,3,ATL,PIT,PIT,final,True,False,0
2026,1,John,2026_01_BAL_IND,BAL,11,BAL,IND,BAL,final,True,True,11
2026,1,John,2026_01_BUF_HOU,BUF,8,BUF,HOU,BUF,final,True,True,8
2026,1,John,2026_01_CHI_CAR,CAR,2,CHI,CAR,CHI,final,True,False,0
2026,1,John,2026_01_CLE_JAX,JAX,14,CLE,JAX,JAX,final,True,True,14
2026,1,John,2026_01_DAL_NYG,DAL,9,DAL,NYG,NYG,final,True,False,0
2026,1,John,2026_01_DEN_KC,KC,7,DEN,KC,KC,final,True,True,7
2026,1,John,2026_01_GB_MIN,MIN,6,GB,MIN,MIN,final,True,True,6
2026,1,John,2026_01_MIA_LV,LV,12,MIA,LV,LV,final,True,True,12
2026,1,John,2026_01_NE_SEA,SEA,10,NE,SEA,SEA,final,True,True,10
2026,1,John,2026_01_NO_DET,DET,15,NO,DET,DET,final,True,True,15
2026,1,John,2026_01_NYJ_TEN,NYJ,5,NYJ,TEN,NYJ,final,True,True,5
2026,1,John,2026_01_SF_LA,LA,13,SF,LA,SF,final,True,False,0
2026,1,John,2026_01_TB_CIN,TB,4,TB,CIN,CIN,final,True,False,0
2026,1,John,2026_01_WAS_PHI,WAS,1,WAS,PHI,PHI,final,True,False,0
